Стрелок ранен и находится в больнице под контролем спецслужб .	ранен
Протяженность автомобильных дорог с твердым покрытием составляет 350 километров .	дорог
Начиная с 1960-х Япония использовала больше презервативов на душу населения , чем любая другая страна .	1960-х
Народ « имеет свои неотъемлемые права по отношению к главе государства , хотя они не могут быть принудительными правами » , — подчеркивал он .	отношению
Особое место занимали гуманитарные вопросы — реабилитация и героизация ОУН и УПА , ограничение использования русского языка , фальсификация истории .	вопросы
С 74 номера « Русских ведомостей » начинает публиковаться повесть Станюковича « Грозный адмирал » .	номера
Все эти здания построены в стиле « конструктивизма » .	построены
С приходом технологического прогресса " Felicitas Julia " стал центром торговли с римскими Британией ( в частности , с Корнуоллом ) и Рейном .	торговли
Собирающая корм кабарга может подниматься по наклонному стволу дерева или прыгая с ветки на ветку до высоты 3 — 4 м .	высоты
Во второй половине XVII века после его смерти они перешли в ведение дворцового управления , то есть государственной казны .	перешли
Не исключено , что идея роста ссуды появилась из практики — например , когда взятого в ссуду теленка возвращали с естественным приростом .	роста
Для русских читателей Нерваля открыл Павел Муратов .	открыл
На вооружении 66 орудий и миномётов , 96	орудий
Максимальная дальность полёта МБР 16 тыс. км , обеспечивая практически глобальную досягаемость для ракетного удара вне зависимости от расположения пусковой установки .	установки
Однако в отличие от них в Якутске примерно к 2005 году произошло полное замещение муниципального транспорта коммерческим .	транспорта
И. Гарелина , наблюдение за строительством проводил архитектор П. Г. Беген .	архитектор
3 марта 1946 года он подал в отставку с поста президента Финляндии .	поста
За сентябрь 1944 ковпаковцам ( насчитывавшим на 9 октября 1944 1635 человек ) удалось уничтожить 981 человека и взять в плен 262 бандпособника .	взять
Действие может происходить в будущем , альтернативном настоящем или прошлом , а также в полностью вымышленном мире .	прошлом
Сам же футболист заявил , что проводил и более хорошие матчи .	матчи
В ночь с 9 на 10 июля 491 года Одоакр предпринял последнюю серьёзную попытку прорваться из города , но она оказалась неудачной .	оказалась
Исторически многие немецкие города обладали высокой степенью самостоятельности , в частности — из-за того , что являлись крупными центрами торговли , входившими в Ганзейский союз .	торговли
Прадед — Дмитрий Семёнович — ушёл в отставку в чине титулярного советника .	ушёл
Так как все женщины в одном роду имели единое имя , то в пределах рода они различались по возрасту .	пределах
Один из лидеров Рисорджименто .	лидеров
Однако позднее у отца Иоасафа испортились отношения с Иерусалимским патриархом , и он был вынужден срочно покинуть Палестину .	покинуть
Уровень нелегальной иммиграции на 2010 год составляет 8,8 % ( самый высокий показатель в США ) .	показатель
Римско-католические богослужения проводятся в церкви Святой Екатерины , а протестанты часто используют для таких целей Поле Пастушков .	целей
Атмосферное давление в верхней части цилиндра давит на поршень , и вызывает его перемещение вниз , то есть рабочий ход .	верхней
Фотографическая фонограмма имела переменную ширину дорожки ( 1904 ) или переменную оптическую плотность ( 1919 ) и наносилась на кромку киноленты .	плотность
Однако уже при Тоётоми Хидэёси размывание самурайского сословия было временно приостановлено .	временно
Помимо производства фильмов , студия « Мосфильм » занимается дублированием художественных фильмов западного производства по заказу различных компаний-прокатчиков .	занимается
В 1988 году заочно окончил юридический факультет Пермского государственного университета , а в 1990 году защитил кандидатскую диссертацию в Ивановском государственном университете , став кандидатом экономических наук .	государственном
В окрестностях Протвино продолжают находить останки погибших военнослужащих , фрагменты военной техники и оружия .	окрестностях
Петрухин под рекой « Кива » предлагает понимать Днепр , на который автор распространил название Киева .	предлагает
Пресс-секретарь движения « Наши » Кристина Потупчик по поводу нападения на Бориса Немцова сказала : « Мы этого не делали и не имеем к этому отношения » .	поводу
451 вид птиц высиживают птенцов на территории страны .	птиц
В 1789 году была заселена и Хортицкая волость Екатеринославского уезда Екатеринославской губернии .	волость
17 июля 1932 года получил статус города областного подчинения .	областного
Губки обладают различными приспособлениями для регуляции тока воды через водоносную систему .	различными
По замыслу Блюхера обходной манёвр проводили 35-я Сибирская стрелковая дивизия , 5-я отдельная Кубанская кавалерийская бригада ( под командованием К .	бригада
Она была казнена в 1930 г. , а несколько позже младший сын Мао Аньлун умирает от дизентерии .	младший
Полученное в итоге музыкальное видео на рождественскую тематику фактически было записано во время разгара летней жары со сломанным кондиционером .	видео
Квалифицированная страховка оказывается тогда жизненно необходимой .	оказывается
Последний рейс под флагом авиакомпании был совершён 30 марта 2014 года на самолёте с бортовым номером	номером
Переговоры проходили в условиях тайного и явного соперничества , интриг и закулисных сговоров .	проходили
В ходе полёта на борту аппарата проводились эксперименты над полевыми мышами и мухами-дрозофилами , направленные на обеспечение первого пилотируемого полёта .	проводились
Эти астероиды называют по именам персонажей Троянской войны , описанных в Илиаде .	персонажей
Именно поэтому Бакиев и относится столь благосклонно к лидерам оргпреступности .	столь
По химическому строению алпразолам близок к триазоламу , отличается отсутствием атома Cl при фениле в положении 6 .	отличается
Все они , как и сам Иоганн Бернулли решили задачу разными способами .	решили
Синоним « катастрофа » используется в основном в СМИ и разговорной речи , в официальных документах чаще используется термин " авиационное происшествие " .	речи
Сохранились сведения о городах Зарехаван в Нор-Ширакане , Зарехаван в Багреванде , Заришат в Вананде и т.д .	сведения
В связи с тем , что партия Сергея Тигипко « Сильная Украина » не прошла в парламент , отношения с ней были прекращены .	прошла
К зиме молодняк в возрасте 5 — 6 месяцев достигает кондиционного веса .	достигает
